City,IATA Code,Country,Resort,Ocean,River,Sea,Romantic,Romance,Couples,Caribbean,Relax,Tropics,Palm Tree,Sun,Swimming Pool,Water,Yellow,Beach,Trees,Coral Reef,Mountain,Amusement Park,Wildlife,Forest,City,Skyline,Building,Busy,Traffic,Car,Vehicle,Crowd,Festival,Basketball,Soccer,Stadium,Football,Baseball,Hockey,Hiking,Wetland,Meadow,Prairie,Ship,Cruise,Harbour,Island,Architecture,Warm,Desert,Bike,Cycling,Biking,Buffet,Eating,Food,Skiing,Chairlift,Snowbard,Ski,Hill,Snow,Cold,Winter,Ice,Path,Trail,Hiking,Hike,Walking,Backpacking,Exercise,Golf,Spa,Fair,Fishing,Horse,Sailing,Casino,Poker,Gambling,Alcohol,Drinking,Nightlife,Wilderness,Sky,Atmosphere,Nature,Animal,Plant,Rural,Quiet,Aurora,Glacier,Waterfall,Museum,Fun,Leisure,Friendly,Safe,Peace,Island,Adventure,Rock,Climbing,Mountaineer,Mountaineering,Mountain Climbing
San Diego,SAN,USA,Hilton San Diego Resort & Spa,Pacific Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,La Jolla Beach,"Desert, Tropical",NULL,NULL,Lego Land,NULL,NULL,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego,NULL,NULL,NULL,NULL,SDCCU Stadium,NULL,San Diego Padres,NULL,La Jolla Beach,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,Modern,NULL,NULL,Both,Both,Both,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Torrey Pines State Park,Torrey Pines State Park,Torrey Pines State Park,Torrey Pines State Park,Torrey Pines State Park,Torrey Pines State Park,Torrey Pines State Park,,Hilton San Diego Resort & Spa,,Yes,San Diego Beach Rides,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,San Diego Museum of Art,Beaches and Fun,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Savannah,SAV,USA,The Westin Savannah Harbor Golf Resort & Spa,Atlantic Ocean,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Tybee Island,Deciduous,NULL,NULL,NULL,Georgian Swamps,Wassaw National Wildlife Refuge,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,Southern,Warm place for the winter,NULL,NULL,NULL,NULL,Southern,Southern,Southern,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Skidaway Island State Park,Skidaway Island State Park,Skidaway Island State Park,Skidaway Island State Park,Skidaway Island State Park,Skidaway Island State Park,Skidaway Island State Park,,The Westin Savannah Harbor Golf Resort & Spa,,Yes,Rocking M Ranch,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Santo Domingo,SDQ,Dominican Republic,Acuarium Resort Hotel,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Bayahibe,Tropical,Yes ,Isabel de Torres,NULL,NULL,Parque Nacional Del Este,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Isabel de Torres Trail,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Hispaniola,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jarabacoa,Jarabacoa,Jarabacoa,Jarabacoa,Jarabacoa,Jarabacoa,Jarabacoa,,Acuarium Resort Hotel,,Yes,Punta Cana Tours,Yes,Barcelo Bavaro Palace Deluxe,Barcelo Bavaro Palace Deluxe,Barcelo Bavaro Palace Deluxe,Barcelo Bavaro Palace Deluxe,Barcelo Bavaro Palace Deluxe,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Jima Waterfalls,NULL,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,Hispaniola,NULL,NULL,NULL,NULL,NULL,NULL
Seattle,SEA,USA,NULL,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Evergreen,NULL,Mount Rainier,NULL,San Juan Islands,Mt Rainier Wilderness,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Yes,Seattle International Film Fesival,NULL,Seattle Sounders,Husky Stadium,Seattle Seahawks,Seattle Mariners,NULL,Olympic Mountains,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,"Modern, American Craftsman",NULL,NULL,Both,Both,Both,Seafood,Seafood,Seafood,Mount Rainier,Mount Rainier,Mount Rainier,Mount Rainier,Mount Rainier,NULL,NULL,NULL,NULL,Rattlesnake Ridge,Rattlesnake Ridge,Rattlesnake Ridge,Rattlesnake Ridge,Rattlesnake Ridge,Rattlesnake Ridge,Rattlesnake Ridge,,Four Seasons Hotel Seattle,,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,Mount Rainier,Snoqualmie Falls,Pike Place Gallery,"Seafood, Adventure, and Fun",Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,The outdoors await,Exposed rock,Mt Rainier,Mt Rainier,Mt Rainier,Mt Rainier
San Francisco,SFO,USA,NULL,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Evergreen,NULL,NULL,California's Great America ,NULL,Portola Redwoods State Park,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,Yes,SF LGBT Pride Parade,Golden State Warriors,NULL,AT&T Park,San Francisco 49ers,San Francisco Giants,NULL,Lands End,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,"Modern, American Craftsman, Art Deco",NULL,NULL,Both,Both,Both,Seafood,Seafood,Seafood,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lands End,Lands End,Lands End,Lands End,Lands End,Lands End,Lands End,,International Orange San Francisco,,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cataract Falls,San Francisco Museum of Modern Art,"Seafood, Adventure, and Fun",Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,Mount Shasta,Mount Shasta,Mount Shasta,Mount Shasta
San Jose,SJC,USA,NULL,Pacific Ocean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Evergreen,NULL,Mount Shasta,California's Great America ,NULL,Portola Redwoods State Park,San Jose,San Jose,San Jose,San Jose,San Jose,San Jose,San Jose,Yes,NULL,NULL,San Jose Earthquakes,CEFCU Stadium,NULL,NULL,San Jose Sharks,Sierra Vista,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,Modern,NULL,NULL,Both,Both,Both,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lands End,Lands End,Lands End,Lands End,Lands End,Lands End,Lands End,,Burke Williams,,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cataract Falls,San Francisco Museum of Modern Art,"Seafood, Adventure, and Fun",Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,Mount Shasta,Mount Shasta,Mount Shasta,Mount Shasta
San Jose,SJO,Costa Rica,Colours Oasis Resort,Pacific Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Jaco,Tropical,Yes ,Cerro Chirripo,NULL,NULL,Parque Nactional Tapanti Macizo de,San Jose,San Jose,San Jose,San Jose,San Jose,San Jose,San Jose,Yes,NULL,NULL,NULL,Estadio Nacional de Costa Rica,NULL,NULL,NULL,Costa Rican Rainforest,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Corcovado National Park ,Corcovado National Park ,Corcovado National Park ,Corcovado National Park ,Corcovado National Park ,Corcovado National Park ,Corcovado National Park ,,Colours Oasis Resort,,NULL,Finca Caballo Loco,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Rio Celeste Waterfall,Museo del Jade Marco Fidel Tristan,Lots of Rainforest,NULL,Friendly and Inviting Locals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
San Juan,SJU,Puerto Rico,San Juan Marriott Resort ,Atlantic Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,La Playita de Condado,Tropical,Yes ,NULL,NULL,NULL,El Yunque National Forest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,El Yunque Rainforest,Home to marshes and bogs nearby,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,El Yunque Rainforest,El Yunque Rainforest,El Yunque Rainforest,El Yunque Rainforest,El Yunque Rainforest,El Yunque Rainforest,El Yunque Rainforest,,San Juan Marriott Resort ,,Yes,Campo Rico Trail Rides,Yes,Casino Metro,Casino Metro,Casino Metro,Casino Metro,Casino Metro,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Dona Juana Waterfall,NULL,Explore some Cruises,NULL,Friendly and Inviting Locals,NULL,NULL,Puerto Rico,NULL,NULL,NULL,NULL,NULL,NULL
Salt Lake City,SLC,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Evergreen,NULL,Wasatch Mountains,Lagoon,NULL,NULL,Salt Lake City,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bonneville Salt Flats Racing,SLC Jazz,Real Salt Lake,Rice-Eccles Stadium,NULL,NULL,NULL,Mt Olympus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,In the middle of a desert,Both,Both,Both,NULL,NULL,NULL,Alta,Alta,Alta,Alta,Alta,Yes,Yes,Yes,Yes,Mt Olympus Summit,Mt Olympus Summit,Mt Olympus Summit,Mt Olympus Summit,Mt Olympus Summit,Mt Olympus Summit,Mt Olympus Summit,,SLC Med Spa,,NULL,Western Trail Rides,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,Timpanogos Glacier,NULL,Mormon Church,The Outdoors Awaits,NULL,NULL,NULL,NULL,NULL,The outdoors await,Rock Formations,NULL,NULL,NULL,NULL
Sacramento,SMF,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Evergreen,NULL,Mount Shasta,Funderland Park,NULL,Eldorado National Forest,Sacramento,san,san,san,san,san,san,NULL,NULL,Sacramento Kings,NULL,NULL,NULL,NULL,NULL,Lands End,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Both,Both,Both,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Consumnes River Preserve,Consumnes River Preserve,Consumnes River Preserve,Consumnes River Preserve,Consumnes River Preserve,Consumnes River Preserve,Consumnes River Preserve,,Arden Hills Club & Spa,,NULL,Sacramento Horsemen's Association,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crystal Creek Falls,California State Legislature Building ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Santa Clara,SNU,Cuba,Melia Sol Cayo Santa Maria ,Atlantic Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Melllia Buenavista,Tropical,Yes ,Pico Tuquino,NULL,NULL,Parque Natural Topes de Collantes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Loma del Capira,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Melia Sol Cayo Santa Maria ,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,El Nicho Waterfalls,Museum of the Revolution,Resort Getaway,NULL,Friendly and Inviting Locals,NULL,NULL,Cuba,NULL,NULL,NULL,NULL,NULL,NULL
Sarasota,SRQ,USA,Lido Beach Resort,Atlantic Ocean,NULL,Gulf of Mexico,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Lido Key Beach,Tropical,NULL,NULL,NULL,Everglades National Park,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Everglades National Park,Home to marshes and bogs nearby,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lake Osprey Trail,Lake Osprey Trail,Lake Osprey Trail,Lake Osprey Trail,Lake Osprey Trail,Lake Osprey Trail,Lake Osprey Trail,,Lido Beach Resort,,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Relaxing Sunshine,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Santiago de los Caballeros,STI,Dominican Republic,NULL,Atlantic Ocean,NULL,Caribbean Sea,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Bavaro Beach,Tropical,Yes ,NULL,NULL,NULL,Parque Nacional Armando Bermudez,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Isabel de Torres Trail,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,Hispaniola,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Charcos de Damajagua,Charcos de Damajagua,Charcos de Damajagua,Charcos de Damajagua,Charcos de Damajagua,Charcos de Damajagua,Charcos de Damajagua,,Betsy Spa,,Yes,Colonial Tour and Travel,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,Jima Waterfalls,NULL,Resort Getaway,NULL,Friendly and Inviting Locals,NULL,NULL,Hispaniola,NULL,NULL,NULL,NULL,NULL,NULL
St. Thomas,STT,US Virgin Islands,Frenchman's Reef,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Neltjeberg,Tropical,Yes ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Magens Bay Trail,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,American Virgin Islands,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mountain Top,Mountain Top,Mountain Top,Mountain Top,Mountain Top,Mountain Top,Mountain Top,,Frenchman's Reef,,Yes,Golden Age Ranch,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Resort Getaway,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,US Virgin Islands,NULL,NULL,NULL,NULL,NULL,NULL
St. Croix,STX,US Virgin Islands,Renaissance St. Croix Carambola Beach,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Christiansted,Tropical,Yes ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,American Virgin Islands,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Renaissance St. Croix Carambola Beach,,Yes,Horseback Riding St Croix,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Resort Getaway,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,US Virgin Islands,NULL,NULL,NULL,NULL,NULL,NULL
Newburgh,SWF,USA,NULL,Atlantic Ocean,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,NULL,NULL,NULL,Harriman State Park,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Great harbor for activities and water transport,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Amore' Day Spa,,Yes,Gardnertown Farm,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Philipsburg,SXM,St. Maarten,Sonesta Maho Beach Resort,Atlantic Ocean,NULL,Caribbean Sea,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Maho Beach,Tropical,Yes ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Maho Beach,NULL,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,St. Maarten,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Sonesta Maho Beach Resort,,,Lucky Stables,Yes,Casino Royale,Casino Royale,Casino Royale,Casino Royale,Casino Royale,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,Check out Maho Beach,Safe & Tourist Friendly,NULL,Safe & Tourist Friendly,Safe & Tourist Friendly,St. Maarten,NULL,NULL,NULL,NULL,NULL,NULL
Syracuse,SYR,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Deciduous,NULL,Adirondacks,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chittenango State Park,Chittenango State Park,NULL,Chittenango State Park,Chittenango State Park,Chittenango State Park,Chittenango State Park,,NULL,,Yes,Quarry Ridge Stables,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tampa Bay,TPA,USA,Emerald Greens,Atlantic Ocean,NULL,Gulf of Mexico,Great for Couples,Great for Couples,Great for Couples,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,Ben T Davis Beach,Tropical,Yes ,NULL,Busch Gardens Tampa Bay,NULL,NULL,Tampa Bay,Tampa Bay,Tampa Bay,Tampa Bay,Tampa Bay,Tampa Bay,Tampa Bay,NULL,NULL,NULL,NULL,Raymond James Stadium,Tampa Bay Buccaneers,Tampa Bay Rays,Tampa Bay Lightning,Everglades National Park,Home to marshes and bogs nearby,NULL,NULL,Multiple Cruise Lines,Multiple Cruise Lines,Great harbor for activities and water transport,NULL,NULL,Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lettuce Lake Park ,Lettuce Lake Park ,Lettuce Lake Park ,Lettuce Lake Park ,Lettuce Lake Park ,Lettuce Lake Park ,Lettuce Lake Park ,,Emerald Greens,,Yes,Cypress Breeze,Yes,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,Tampa Museum of Art,Fun and Sunshine,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tuscon,TUS,USA,JW Marriott Tucson Starr Pass Resort,NULL,NULL,NULL,Great for Couples,Great for Couples,Great for Couples,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Desert,NULL,Mount Lemon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Arizona Stadium,NULL,NULL,NULL,Mt Wrightson Trail,NULL,NULL,Prairies nearby,NULL,NULL,NULL,NULL,Desert Contemporary,Warm place for the winter,In the middle of a desert,Both,Both,Both,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mt Lemmon Trail,Mt Lemmon Trail,Mt Lemmon Trail,Mt Lemmon Trail,Mt Lemmon Trail,Mt Lemmon Trail,Mt Lemmon Trail,,JW Marriott Tucson Starr Pass Resort,,NULL,Spanish Trail Outfitters,NULL,Desert Diamond Casino & Hotel,Desert Diamond Casino & Hotel,Desert Diamond Casino & Hotel,Desert Diamond Casino & Hotel,Desert Diamond Casino & Hotel,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Tucson Museum of Art,NULL,Safe & Tourist Friendly,Friendly and Inviting Locals,Safe & Tourist Friendly,Safe & Tourist Friendly,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Quito,UIO,Ecuador,Swissotel Quito,NULL,NULL,NULL,NULL,NULL,NULL,Great Caribbean Destination!,Great place to relax and enjoy,Great tropical retreat!,Palm Trees a Plenty,Lots of sun!,Good for a swim,Lots of water and water activities,Yes,NULL,Decideoec,NULL,Cotopaxi,NULL,Amazon Rainforest ,Sumaco Galeras National Park,Quito,Quito,Quito,Quito,Quito,Quito,Quito,Yes,NULL,NULL,NULL,Estadio Olimico Atahualpa,NULL,NULL,NULL,Cotopaxi,NULL,Meadows just outside the city,NULL,NULL,NULL,NULL,NULL,"Modern, Colonial",Warm place for the winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Quilotoa,Quilotoa,Quilotoa,Quilotoa,Quilotoa,Quilotoa,Quilotoa,,Swissotel Quito,,NULL,Ecua Horse Rides,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,Cotopaxi,Laguna Azul,City Museum,Volcanoes and Rainforest,NULL,NULL,NULL,NULL,NULL,"Mountains, jungle, and exploration",Exposed rock,Cotopaxi,Cotopaxi,Cotopaxi,Cotopaxi
